dataset,original_name,refmet_name,main_class,refmet_id,status
negative,"[(2R,3R,4R,5S)-3,4-Diacetyloxy-5-(2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methyl acetate",-,-,-,MATCH
negative,"1-(3-Chloro-4-hydroxyphenyl)-2-((1,1-dimethylethyl)amino)-1-propanone",-,-,-,MATCH
negative,"1,5,6-Trihydroxyhexane-2,3-dione",-,-,-,MATCH
negative,"1,5-Dinitrocyclohexa-1,4-diene",-,-,-,MATCH
negative,"1-[(2R,4R,5R)-3,4-Dihydroxy-5-(hydroxymethyl)-2-oxolanyl]-2-pyrimidinone",-,-,-,MATCH
negative,"1-Hydroxypyrrole-2,5-diol",-,-,-,MATCH
negative,"1-Methylpyrrole-2,3,5-triol",-,-,-,MATCH
negative,"1-Naphthalenesulfonic acid, 3,4-dihydro-3,4-dioxo-",-,-,-,MATCH
negative,"2,6-Dinitrophenol",-,-,-,MATCH
negative,2'-C-Methylcytidine,-,-,-,MATCH
negative,2'-Deoxyadenosine 3'-monophosphate,2'-Deoxy-3'-AMP,Purines,RM0172002,MATCH
negative,2-Phenylethanol glucuronide,2-Phenylethanol glucuronide,Benzenes,RM0227085,MATCH
negative,3-Hydroxyisovaleric acid,3-Hydroxyisovaleric acid,Fatty acids,RM0152879,MATCH
negative,4-Hydroxybutyric acid,4-Hydroxybutyric acid,Fatty acids,RM0153113,MATCH
negative,4-Hydroxynicotinamide,-,-,-,MATCH
negative,4-Hydroxyquinoline,4-Hydroxyquinoline,Quinolones,RM0071751,MATCH
negative,4-Isopropoxyphenol,-,-,-,MATCH
negative,4-Mercaptobutyric acid,-,-,-,MATCH
negative,4-Mercapto-ethyl-pyridine,-,-,-,MATCH
negative,4-Methylbenzenecarbothioamide,-,-,-,MATCH
negative,5-Hydroxyindoleacetic acid,5-Hydroxyindoleacetic acid,Tryptophan alkaloids,RM0135989,MATCH
negative,"Butanoic acid, [(diethoxyphosphinyl)oxy]methyl ester",-,-,-,MATCH
negative,Cinnamic acid,trans-Cinnamic acid,Phenylpropanoids,RM0159952,MATCH
negative,Citraconic acid,Citraconic acid,Fatty acids,RM0153097,MATCH
negative,D-2-Hydroxyglutaric acid,D-2-Hydroxyglutaric acid,Fatty acids,RM0152558,MATCH
negative,D-alpha-Aminobutyric acid,2R-Aminobutyric acid,Amino acids and peptides,RM0134974,MATCH
negative,D-Arabitol,Arabitol,Monosaccharides,RM0135975,MATCH
negative,D-Fructose,Fructose,Monosaccharides,RM0136734,MATCH
negative,DL-Dopa,DOPA,Amino acids and peptides,RM0138924,MATCH
negative,D-Ribulose 5-phosphate,Ribulose 5-phosphate,Monosaccharides,RM0020730,MATCH
negative,Erythronic acid,Erythronic acid,Monosaccharides,RM0041611,MATCH
negative,Ethyl glucuronide,Ethyl glucuronide,Monosaccharides,RM0050129,MATCH
negative,Galactose 1-phosphate,Galactose 1-phosphate,Monosaccharides,RM0155945,MATCH
negative,Gluconic acid,Gluconic acid,Monosaccharides,RM0155944,MATCH
negative,Glutarylglycine,Glutarylglycine,Amino acids and peptides,RM0135970,MATCH
negative,Hexanoylglycine,NA-Gly 6:0,Fatty amides,RM0153690,MATCH
negative,Hippuric acid,Hippuric acid,Benzamides,RM0135980,MATCH
negative,Homocitrulline,Homocitrulline,Amino acids and peptides,RM0138931,MATCH
negative,Hydroxyisocaproic acid,Hydroxyisocaproic acid,Fatty acids,RM0140735,MATCH
negative,Hydroxyphenyllactic acid,Hydroxyphenyllactic acid,Phenylpropanoids,RM0052813,MATCH
negative,Hydroxypropionic acid,Hydroxypropionic acid,Fatty acids,RM0139419,MATCH
negative,Indolelactic acid,Indolelactic acid,Tryptophan alkaloids,RM0044363,MATCH
negative,Isodesmosine,Isodesmosine,Pyridine alkaloids,RM0224589,MATCH
negative,Isovalerylglycine,Isovalerylglycine,Amino acids and peptides,RM0012553,MATCH
negative,Ketoleucine,Ketoleucine,Keto acids,RM0135977,MATCH
negative,L-Arabinose,L-Arabinose,Monosaccharides,RM0199728,MATCH
negative,L-Homoserine,Homoserine,Amino acids and peptides,RM0135982,MATCH
negative,L-Rhamnulose,-,-,-,MATCH
negative,Malonic acid,Malonic acid,Fatty acids,RM0153291,MATCH
negative,Mannitol,Mannitol,Monosaccharides,RM0155938,MATCH
negative,Methylglutaric acid,Methylglutaric acid,Fatty acids,RM0153032,MATCH
negative,N(1)-Ethylchlorpropamide,-,-,-,MATCH
negative,N-(2-Amino-2-oxoethyl)-2-methylprop-2-enamide,-,-,-,MATCH
negative,N-(3-Pyrene)maleimide,-,-,-,MATCH
negative,N(4)-Acetylsulfisoxazole,-,-,-,MATCH
negative,N-(4-Aminobenzoyl)-L-glutamic acid,4-Aminobenzoylglutamic acid,Amino acids and peptides,RM0131948,MATCH
negative,N(epsilon)-(carboxyethyl)lysine,N(6)-(2-Carboxyethyl)-lysine,Amino acids and peptides,RM0128692,MATCH
negative,N-4-Carboxybenzylglucamine dithiocarbamate,-,-,-,MATCH
negative,N-Acetylcyanamide,-,-,-,MATCH
negative,N-Acetyl-DL-phenylalanine,-,-,-,MATCH
negative,N-Acetyl-L-aspartic acid,N-Acetylaspartic acid,Amino acids and peptides,RM0136005,MATCH
negative,N-Allylglycine,-,-,-,MATCH
negative,N-Butyrylglycine,NA-Gly 4:0,Fatty amides,RM0129939,MATCH
negative,n-carboxymethyllysine,-,-,-,MATCH
negative,n-chloroaniline,-,-,-,MATCH
negative,Neuraminic acid,Neuraminic acid,Monosaccharides,RM0136014,MATCH
negative,n-formimidoyl-glutamic acid,Formiminoglutamic acid,Amino acids and peptides,RM0136010,MATCH
negative,N-Formylglycine,N-Formylglycine,Amino acids and peptides,RM0129975,MATCH
negative,N-Hbgd,-,-,-,MATCH
negative,N-Hydroxybenzamide,-,-,-,MATCH
negative,N-hydroxy-L-tryptophan,-,-,-,MATCH
negative,N-Hydroxymethyl-N-methylformamide,-,-,-,MATCH
negative,N-Methyl-4-nitroaniline,-,-,-,MATCH
negative,N-Methyl-DL-aspartic acid,-,-,-,MATCH
negative,N-Methylsuccinimide,-,-,-,MATCH
negative,N-NITROSO-N-METHYLURETHANE,-,-,-,MATCH
negative,N-Oxalylglycine,N-Oxalylglycine,Amino acids and peptides,RM0188082,MATCH
negative,N-Oxalyl-L-alanine,-,-,-,MATCH
negative,N-Propyl-N-nitrosourea,-,-,-,MATCH
negative,ortho-Hydroxyphenylacetic acid,2-Hydroxyphenylacetic acid,Phenylpropanoids,RM0133220,MATCH
negative,Oxypurinol,Oxypurinol,Purines,RM0156424,MATCH
negative,Phenylacetylglycine,Phenylacetylglycine,Amino acids and peptides,RM0012731,MATCH
negative,Phenyllactic acid,Phenyllactic acid,Phenylpropanoids,RM0012471,MATCH
negative,Propionylglycine,N-Propionylglycine,Amino acids and peptides,RM0136001,MATCH
negative,Pseudouridine,Pseudouridine,Pyrimidines,RM0033386,MATCH
negative,Suberic acid,Suberic acid,Fatty acids,RM0134985,MATCH
negative,Tyramine glucuronide,Coenzyme Q10,Quinones and hydroquinones,RM0138857,MATCH
negative,Valeric acid,Valeric acid,Fatty acids,RM0139464,MATCH
targeted,alpha-Ketoglutaric acid,2-Oxoglutaric acid,TCA acids,RM0135911,MATCH
targeted,AMP,AMP,Purines,RM0138921,MATCH
targeted,ATP,ATP,Purines,RM0138930,MATCH
targeted,CDP,CDP,Pyrimidines,RM0138946,MATCH
targeted,Citric acid,Citric acid,TCA acids,RM0135884,MATCH
targeted,CMP,CMP,Pyrimidines,RM0138923,MATCH
targeted,D-Sedoheptulose 7-phosphate,Sedoheptulose 7-phosphate,Monosaccharides,RM0155901,MATCH
targeted,Erythrose 4-phosphate,Erythrose 4-phosphate,Monosaccharides,RM0155934,MATCH
targeted,Fumarate,Fumaric acid,TCA acids,RM0135891,MATCH
targeted,GDP,GDP,Purines,RM0033168,MATCH
targeted,Gluconolactone,Gluconolactone,Monosaccharides,RM0049636,MATCH
targeted,Glucose,Glucose,Monosaccharides,RM0135901,MATCH
targeted,Glucose 1-phosphate,Glucose 1-phosphate,Monosaccharides,RM0034128,MATCH
targeted,Glucose 6-phosphate,Glucose 6-phosphate,Monosaccharides,RM0136106,MATCH
targeted,GMP,GMP,Purines,RM0033601,MATCH
targeted,GTP,GTP,Purines,RM0136084,MATCH
targeted,Guanosine,Guanosine,Purines,RM0156423,MATCH
targeted,Lactic acid,Lactic acid,Short-chain acids,RM0135904,MATCH
targeted,Malic acid,Malic acid,TCA acids,RM0135894,MATCH
targeted,Oxaloacetic acid,Oxaloacetic acid,TCA acids,RM0134987,MATCH
targeted,Ribose,Ribose,Monosaccharides,RM0006551,MATCH
targeted,Ribose 5-phosphate,Ribose 5-phosphate,Monosaccharides,RM0158596,MATCH
targeted,Ribulose 5-phosphate,Ribulose 5-phosphate,Monosaccharides,RM0020730,MATCH
targeted,Succinic acid,Succinic acid,TCA acids,RM0134982,MATCH
targeted,UMP,UMP,Pyrimidines,RM0135929,MATCH
targeted,Uridine,Uridine,Pyrimidines,RM0135933,MATCH
targeted,4-Hydroxyproline,cis-4-Hydroxyproline,Amino acids and peptides,RM0021808,MATCH
targeted,Aminoadipic Acid,Aminoadipic acid,Amino acids and peptides,RM0049220,MATCH
targeted,2-Aminoisobutyric Acid,Aminoisobutyric acid,Fatty acids,RM0139553,MATCH
targeted,Amino-n-butyric Acid,-,-,-,MATCH
targeted,Butyrylcarnitine,CAR 4:0,Fatty esters,RM0153847,MATCH
targeted,Carnitine,Carnitine,Carnitines,RM0008606,MATCH
targeted,Citrulline,Citrulline,Amino acids and peptides,RM0136022,MATCH
targeted,Creatinine,Creatinine,Azoles,RM0028430,MATCH
targeted,Ethanolamine,Ethanolamine,Amines,RM0040238,MATCH
targeted,Glycine,Glycine,Amino acids and peptides,RM0135888,MATCH
targeted,Isovalerylcarnitine,CAR 4:0;3Me,Fatty esters,RM0154016,MATCH
targeted,Kynurenine,Kynurenine,Amino acids and peptides,RM0132226,MATCH
targeted,L-Acetylcarnitine,CAR 2:0,Fatty esters,RM0154009,MATCH
targeted,L-Alanine,Alanine,Amino acids and peptides,RM0135898,MATCH
targeted,L-Arginine,Arginine,Amino acids and peptides,RM0135963,MATCH
targeted,L-Asparagine,Asparagine,Amino acids and peptides,RM0135724,MATCH
targeted,L-Aspartic Acid,Aspartic acid,Amino acids and peptides,RM0135905,MATCH
targeted,L-Cystathionine,Cystathionine,Amino acids and peptides,RM0135885,MATCH
targeted,L-Cystine,Cystine,Amino acids and peptides,RM0135906,MATCH
targeted,L-Glutamic Acid,Glutamic acid,Amino acids and peptides,RM0135893,MATCH
targeted,L-Glutamine,Glutamine,Amino acids and peptides,RM0012560,MATCH
targeted,L-Histidine,Histidine,Amino acids and peptides,RM0129894,MATCH
targeted,L-Isoleucine,Isoleucine,Amino acids and peptides,RM0134975,MATCH
targeted,L-Leucine,Leucine,Amino acids and peptides,RM0136379,MATCH
targeted,L-Lysine,Lysine,Amino acids and peptides,RM0135903,MATCH
targeted,L-Methionine,Methionine,Amino acids and peptides,RM0161726,MATCH
targeted,L-Phenylalanine,Phenylalanine,Amino acids and peptides,RM0135897,MATCH
targeted,L-Proline,Proline,Amino acids and peptides,RM0135899,MATCH
targeted,L-Sarcosine,Sarcosine,Amino acids and peptides,RM0135925,MATCH
targeted,L-Serine,Serine,Amino acids and peptides,RM0032433,MATCH
targeted,L-Threonine,Threonine,Amino acids and peptides,RM0135900,MATCH
targeted,L-Tryptophan,Tryptophan,Amino acids and peptides,RM0136024,MATCH
targeted,L-Tyrosine,Tyrosine,Amino acids and peptides,RM0135896,MATCH
targeted,L-Valine,Valine,Amino acids and peptides,RM0136018,MATCH
targeted,Methylhistidine,Methylhistidine,Amino acids and peptides,RM0005026,MATCH
targeted,Ornithine,Ornithine,Amino acids and peptides,RM0135912,MATCH
targeted,Propionylcarnitine,CAR 3:0,Fatty esters,RM0154041,MATCH
targeted,Taurine,Taurine,Sulfonic acids,RM0118223,MATCH
targeted,Urea,Urea,Organonitrogen compounds,RM0117395,MATCH
